"h_id","h_name","line_id","capacity","start_time"
"74","4621","27000046211C","2986","15/11/2024 00:00:00"
"75","4622","27000046231A","2471","15/11/2024 00:00:00"
"76","4623","27000046231A","2606","15/11/2024 00:00:00"
"77","4624","27000046211C","2949","15/11/2024 00:00:00"
"78","4627","270000462718","2894","15/11/2024 00:00:00"
"79","4628","27000046281D","2271","15/11/2024 00:00:00"
"80","4635","27000046351D","2527","15/11/2024 00:00:00"
"81","4636","27000046361B","2720","15/11/2024 00:00:00"
"82","4643","270000464323","2449","15/11/2024 00:00:00"
"83","4644","270000464461","2744","15/11/2024 00:00:00"
"84","4652","33000046520H","2169","15/11/2024 00:00:00"
"85","4653","33000046520H","2617","15/11/2024 00:00:00"
"86","4705","40000047080E","2740","15/11/2024 00:00:00"
"87","4706","40000047060P","2138","15/11/2024 00:00:00"
"88","4707","40000047060P","2777","15/11/2024 00:00:00"
"89","4708","40000047080E","2136","15/11/2024 00:00:00"
"90","4901","430000490104","2042","15/11/2024 00:00:00"
"91","4902","430000490203","2902","15/11/2024 00:00:00"
"92","5005","470000500505","2798","15/11/2024 00:00:00"
"93","5006","470000500606","2176","15/11/2024 00:00:00"
"94","5007","470000500708","2872","15/11/2024 00:00:00"
"95","5008","47000050080A","2987","15/11/2024 00:00:00"
"96","5035","49000050380N","2132","15/11/2024 00:00:00"
"97","5036","47000050360Q","2251","15/11/2024 00:00:00"
"98","5037","47000050360Q","2701","15/11/2024 00:00:00"
"99","5038","49000050380N","2045","15/11/2024 00:00:00"
"100","5045","47000050480G","2410","15/11/2024 00:00:00"
"101","5046","49000050460B","2913","15/11/2024 00:00:00"
"102","5047","49000050460B","2074","15/11/2024 00:00:00"
"103","5048","47000050480G","2966","15/11/2024 00:00:00"
"104","5511","71000055110C","2337","15/11/2024 00:00:00"
"105","5512","71000055120C","2432","15/11/2024 00:00:00"
"106","5537","710000554014","2473","15/11/2024 00:00:00"
"107","5538","71000055380Z","2106","15/11/2024 00:00:00"
"108","5539","71000055380Z","2596","15/11/2024 00:00:00"
"109","5540","710000554014","2769","15/11/2024 00:00:00"
"110","5601","760000560104","2241","15/11/2024 00:00:00"
"111","5602","7m0000560301","2620","15/11/2024 00:00:00"
"112","5603","7m0000560301","2811","15/11/2024 00:00:00"
"113","5609","770000560942","2598","15/11/2024 00:00:00"
"114","5610","770000561029","2704","15/11/2024 00:00:00"
"115","5611","770000561190","2561","15/11/2024 00:00:00"
"116","5612","770000561290","2670","15/11/2024 00:00:00"
"117","5619","76000056190Y","2293","15/11/2024 00:00:00"
"118","5620","76000056200Y","2437","15/11/2024 00:00:00"
"119","5629","770000562926","2901","15/11/2024 00:00:00"
"120","5630","780000563016","2025","15/11/2024 00:00:00"
"121","5633","760000563340","2720","15/11/2024 00:00:00"
"122","5634","7600005634I0","2835","15/11/2024 00:00:00"
"123","5635","77000056350X","2537","15/11/2024 00:00:00"
"124","5636","77000056360Z","2350","15/11/2024 00:00:00"
"125","5638","770000563801","2103","15/11/2024 00:00:00"
"126","5639","78000056390X","2066","15/11/2024 00:00:00"
"127","5640","78000056400T","2039","15/11/2024 00:00:00"
"128","5645","78000056450W","2883","15/11/2024 00:00:00"
"129","5646","770000564719","2065","15/11/2024 00:00:00"
"130","5647","770000564719","2975","15/11/2024 00:00:00"
"131","5648","78000056450W","2221","15/11/2024 00:00:00"
"132","5651","80000056510H","2288","15/11/2024 00:00:00"
"133","5652","80000056520C","2889","15/11/2024 00:00:00"
"134","5801","93000058010N","2043","15/11/2024 00:00:00"
"135","5802","950000580604","2948","15/11/2024 00:00:00"
"136","5804","93000058010N","2113","15/11/2024 00:00:00"
"137","5805","93000058010N","2210","15/11/2024 00:00:00"
"138","5806","950000580604","2107","15/11/2024 00:00:00"
"139","5815","940000581803","2631","15/11/2024 00:00:00"
"140","5816","930000581603","2231","15/11/2024 00:00:00"
"141","5817","930000581603","2074","15/11/2024 00:00:00"
"142","5818","940000581803","2122","15/11/2024 00:00:00"
"143","6025","39000060250D","2759","15/11/2024 00:00:00"
"144","6026","57000060260I","2986","15/11/2024 00:00:00"
"145","6043","260000604312","2349","15/11/2024 00:00:00"
"146","6044","38000060440E","2606","15/11/2024 00:00:00"
"147","6045","270000604528","2279","15/11/2024 00:00:00"
"148","6046","41000060460C","2627","15/11/2024 00:00:00"
"149","6055","28000060551Q","2222","15/11/2024 00:00:00"
"150","6056","33000060560Y","2535","15/11/2024 00:00:00"
"151","6063","410000606316","2216","15/11/2024 00:00:00"
"152","6064","760000606408","2083","15/11/2024 00:00:00"
"153","6067","760000606701","2816","15/11/2024 00:00:00"
"154","6068","850000606801","2967","15/11/2024 00:00:00"
"155","6071","870000607405","2231","15/11/2024 00:00:00"
"156","6072","41000060720Q","2768","15/11/2024 00:00:00"
"157","6073","41000060720Q","2533","15/11/2024 00:00:00"
"158","6074","870000607405","2663","15/11/2024 00:00:00"
"159","6081","78000060810Q","2590","15/11/2024 00:00:00"
"160","6082","800000608325","2076","15/11/2024 00:00:00"
"161","6083","800000608325","2243","15/11/2024 00:00:00"
"162","6084","78000060810Q","2909","15/11/2024 00:00:00"
"163","6201","040000620100","2274","15/11/2024 00:00:00"
"164","6202","010000620201","2729","15/11/2024 00:00:00"
"165","6203","010000620390","2571","15/11/2024 00:00:00"
"166","6204","010000620400","2123","15/11/2024 00:00:00"
"167","6207","010000620750","2041","15/11/2024 00:00:00"
"168","6208","020000620801","2929","15/11/2024 00:00:00"
"169","6212","010000621210","2041","15/11/2024 00:00:00"
"170","6215","02000062150T","2753","15/11/2024 00:00:00"
"171","6216","02000062160P","2313","15/11/2024 00:00:00"
"172","6223","03000062231N","2144","15/11/2024 00:00:00"
"173","6224","03000062242E","2386","15/11/2024 00:00:00"
"174","6237","05000062400O","2444","15/11/2024 00:00:00"
"175","6238","05000062380N","2164","15/11/2024 00:00:00"
"176","6239","05000062380N","2798","15/11/2024 00:00:00"
"177","6240","05000062400O","2447","15/11/2024 00:00:00"
"178","6245","040000624534","2269","15/11/2024 00:00:00"
"179","6246","040000624633","2478","15/11/2024 00:00:00"
"180","6259","04000062590E","2792","15/11/2024 00:00:00"
"181","6260","04000062590E","2928","15/11/2024 00:00:00"
"182","6271","020000627417","2662","15/11/2024 00:00:00"
"183","6272","020000627212","2479","15/11/2024 00:00:00"
"184","6273","020000627212","2582","15/11/2024 00:00:00"
"185","6274","020000627417","2765","15/11/2024 00:00:00"
"186","6279","04000062790O","2239","15/11/2024 00:00:00"
"187","6280","04000062800O","2579","15/11/2024 00:00:00"
"188","6285","03000062880G","2298","15/11/2024 00:00:00"
"189","6286","03000062860K","2814","15/11/2024 00:00:00"
"190","6287","03000062860K","2693","15/11/2024 00:00:00"
"191","6288","03000062880G","2304","15/11/2024 00:00:00"
"192","6291","040000629101","2279","15/11/2024 00:00:00"
"193","6292","040000629201","2423","15/11/2024 00:00:00"
"194","6293","040000629301","2028","15/11/2024 00:00:00"
"195","6294","040000629403","2353","15/11/2024 00:00:00"
"196","6295","040000629501","2050","15/11/2024 00:00:00"
"197","6296","040000629501","2622","15/11/2024 00:00:00"
"198","6419","240000641910","2968","15/11/2024 00:00:00"
"199","6420","24000064200Y","2534","15/11/2024 00:00:00"
"200","6423","26000064230N","2442","15/11/2024 00:00:00"
"201","6424","26000064240H","2091","15/11/2024 00:00:00"
"202","6433","24000064330R","2118","15/11/2024 00:00:00"
"203","6434","24000064340P","2350","15/11/2024 00:00:00"
"204","6435","24000064350G","2540","15/11/2024 00:00:00"
"205","6436","24000064360I","2893","15/11/2024 00:00:00"
"206","6437","24000064370P","2646","15/11/2024 00:00:00"
"207","6438","24000064380H","2108","15/11/2024 00:00:00"
"208","6455","24000064550F","2050","15/11/2024 00:00:00"
"209","6456","24000064560E","2097","15/11/2024 00:00:00"
"210","6851","33000068510M","2640","15/11/2024 00:00:00"
"211","6852","33000068520N","2926","15/11/2024 00:00:00"
"212","6853","33000068530G","2954","15/11/2024 00:00:00"
"213","6854","33000068540F","2930","15/11/2024 00:00:00"
"214","6855","33000068580P","2354","15/11/2024 00:00:00"
"215","6856","33000068560N","2317","15/11/2024 00:00:00"
"216","6857","33000068560N","2963","15/11/2024 00:00:00"
"217","6858","33000068580P","2275","15/11/2024 00:00:00"
"218","6859","330000685909","2853","15/11/2024 00:00:00"
"219","6860","3d0000686004","2124","15/11/2024 00:00:00"
"220","7001","41000070012G","2725","15/11/2024 00:00:00"
"221","7002","41000070031E","2217","15/11/2024 00:00:00"
"222","7003","41000070031E","2738","15/11/2024 00:00:00"
"223","7004","41000070012G","2627","15/11/2024 00:00:00"
"224","7005","4a0000700526","2094","15/11/2024 00:00:00"
"225","7006","410000700626","2820","15/11/2024 00:00:00"
"226","7007","41000070070T","2976","15/11/2024 00:00:00"
"227","7008","41000070080X","2775","15/11/2024 00:00:00"
"228","7053","490000705308","2099","15/11/2024 00:00:00"
"229","7054","470000705409","2213","15/11/2024 00:00:00"
"230","7265","640000726509","2141","15/11/2024 00:00:00"
"231","7266","64000072660C","2935","15/11/2024 00:00:00"
"232","7267","64000072670C","2806","15/11/2024 00:00:00"
"233","7269","640000726906","2304","15/11/2024 00:00:00"
"234","7270","640000727005","2577","15/11/2024 00:00:00"
"235","7271","64000072710A","2179","15/11/2024 00:00:00"
"236","7272","640000727208","2384","15/11/2024 00:00:00"
"237","7277","640000727702","2457","15/11/2024 00:00:00"
"238","7278","640000727802","2500","15/11/2024 00:00:00"
"239","7279","6a0000727902","2588","15/11/2024 00:00:00"
"240","7451","80000074541T","2241","15/11/2024 00:00:00"
"241","7452","80000074522G","2219","15/11/2024 00:00:00"
"242","7453","80000074522G","2792","15/11/2024 00:00:00"
"243","7454","80000074541T","2644","15/11/2024 00:00:00"
"244","7465","80000074650D","2369","15/11/2024 00:00:00"
"245","7466","80000074660E","2497","15/11/2024 00:00:00"
"246","7501","850000750111","2015","15/11/2024 00:00:00"
"247","7502","850000750211","2743","15/11/2024 00:00:00"
"248","7503","890000750301","2176","15/11/2024 00:00:00"
"249","7504","850000750421","2463","15/11/2024 00:00:00"
"250","7505","850000750530","2604","15/11/2024 00:00:00"
"251","7506","860000750620","2203","15/11/2024 00:00:00"
"252","7507","860000750720","2371","15/11/2024 00:00:00"
"253","7508","860000750820","2472","15/11/2024 00:00:00"
"254","7509","870000750911","2052","15/11/2024 00:00:00"
"255","7510","850000751011","2908","15/11/2024 00:00:00"
"256","7511","870000751121","2903","15/11/2024 00:00:00"
"257","7512","8i0000751301","2799","15/11/2024 00:00:00"
"258","7513","8i0000751301","2218","15/11/2024 00:00:00"
"259","7514","870000751121","2857","15/11/2024 00:00:00"
"260","7515","850000751500","2016","15/11/2024 00:00:00"
"261","7516","850000751600","2303","15/11/2024 00:00:00"
"262","7519","870000751902","2816","15/11/2024 00:00:00"
"263","7520","860000752001","2615","15/11/2024 00:00:00"
"264","7521","860000752111","2303","15/11/2024 00:00:00"
"265","7522","860000752211","2952","15/11/2024 00:00:00"
"266","7523","870000752602","2037","15/11/2024 00:00:00"
"267","7524","870000752402","2328","15/11/2024 00:00:00"
"268","7525","870000752402","2370","15/11/2024 00:00:00"
"269","7526","870000752602","2541","15/11/2024 00:00:00"
"270","7529","860000752901","2671","15/11/2024 00:00:00"
"271","7530","860000753001","2654","15/11/2024 00:00:00"
"272","7531","870000753102","2104","15/11/2024 00:00:00"
"273","7532","870000753202","2239","15/11/2024 00:00:00"
"274","7533","870000753202","2633","15/11/2024 00:00:00"
"275","7534","870000753102","2035","15/11/2024 00:00:00"
"276","7535","860000753501","2365","15/11/2024 00:00:00"
"277","7536","8b0000753701","2595","15/11/2024 00:00:00"
"278","7537","8b0000753701","2014","15/11/2024 00:00:00"
"279","7538","860000753501","2247","15/11/2024 00:00:00"
"280","7555","94000075580I","2084","15/11/2024 00:00:00"
"281","7556","93000075560P","2053","15/11/2024 00:00:00"
"282","7557","93000075560P","2622","15/11/2024 00:00:00"
"283","7558","94000075580I","2234","15/11/2024 00:00:00"
"284","7565","860000756801","2536","15/11/2024 00:00:00"
"285","7566","860000756601","2697","15/11/2024 00:00:00"
"286","7567","860000756601","2430","15/11/2024 00:00:00"
"287","7568","860000756801","2499","15/11/2024 00:00:00"
"288","7581","88000075810P","2247","15/11/2024 00:00:00"
"289","7582","88000075820I","2266","15/11/2024 00:00:00"
"290","8161","270000816101","2534","15/11/2024 00:00:00"
"291","8162","270000816201","2498","15/11/2024 00:00:00"
"292","8163","270000816301","2235","15/11/2024 00:00:00"
"293","8164","270000816401","2084","15/11/2024 00:00:00"
"294","8165","270000816506","2198","15/11/2024 00:00:00"
"295","8166","270000816607","2653","15/11/2024 00:00:00"
"296","8171","270000817135","2500","15/11/2024 00:00:00"
"297","8172","270000817204","2359","15/11/2024 00:00:00"
"298","8187","280000818704","2561","15/11/2024 00:00:00"
"299","8188","280000818804","2851","15/11/2024 00:00:00"
"300","8323","390000832305","2348","15/11/2024 00:00:00"
"301","8324","390000832402","2418","15/11/2024 00:00:00"
"302","8331","390000833105","2350","15/11/2024 00:00:00"
"303","8332","390000833206","2721","15/11/2024 00:00:00"
"304","8351","41000083510N","2188","15/11/2024 00:00:00"
"305","8353","41000083530P","2974","15/11/2024 00:00:00"
"306","8359","41000083590I","2495","15/11/2024 00:00:00"
"307","8361","43000083610R","2238","15/11/2024 00:00:00"
"308","8362","41000083620G","2739","15/11/2024 00:00:00"
"309","8375","41000083750U","2075","15/11/2024 00:00:00"
"310","8376","4i000083760U","2743","15/11/2024 00:00:00"
"311","8817","270000881731","2279","15/11/2024 00:00:00"
"312","8818","270000881811","2337","15/11/2024 00:00:00"
"313","8821","270000882112","2145","15/11/2024 00:00:00"
"314","8822","270000882212","2145","15/11/2024 00:00:00"
"315","8823","280000882307","2369","15/11/2024 00:00:00"
"316","8824","280000882414","2312","15/11/2024 00:00:00"
"317","8833","280000883304","2952","15/11/2024 00:00:00"
"318","8834","280000883412","2687","15/11/2024 00:00:00"
"319","8845","270000884504","2651","15/11/2024 00:00:00"
"320","8849","270000884904","2384","15/11/2024 00:00:00"
"321","8850","270000885004","2302","15/11/2024 00:00:00"
"322","G1","24000000G10K","2870","15/11/2024 00:00:00"
"323","G10","5l00000G1005","2983","15/11/2024 00:00:00"
"324","G11","2400000G110P","2924","15/11/2024 00:00:00"
"325","G12","5l00000G1208","2455","15/11/2024 00:00:00"
"326","G13","2400000G130D","2812","15/11/2024 00:00:00"
"327","G14","5500000G1401","2047","15/11/2024 00:00:00"
"328","G15","2400000G150J","2842","15/11/2024 00:00:00"
"329","G16","5500000G1600","2000","15/11/2024 00:00:00"
"330","G17","2400000G170F","2035","15/11/2024 00:00:00"
"331","G18","5l00000G1841","2841","15/11/2024 00:00:00"
"332","G19","2400000G190Q","2913","15/11/2024 00:00:00"
"333","G100","6x0000G10008","2966","15/11/2024 00:00:00"
"334","G101","240000G10111","2012","15/11/2024 00:00:00"
"335","G102","5l0000G10280","2243","15/11/2024 00:00:00"
"336","G103","240000G10336","2746","15/11/2024 00:00:00"
"337","G104","5l0000G104B2","2363","15/11/2024 00:00:00"
"338","G105","240000G1050R","2075","15/11/2024 00:00:00"
"339","G106","5l0000G106F1","2141","15/11/2024 00:00:00"
"340","G107","240000G1070S","2282","15/11/2024 00:00:00"
"341","G108","5q0000G10801","2596","15/11/2024 00:00:00"
"342","G109","240000G1093O","2364","15/11/2024 00:00:00"
"343","G110","5l0000G11000","2598","15/11/2024 00:00:00"
"344","G111","240000G1111I","2745","15/11/2024 00:00:00"
"345","G112","5l0000G112C1","2353","15/11/2024 00:00:00"
"346","G113","240000G1131E","2424","15/11/2024 00:00:00"
"347","G114","5l0000G11401","2753","15/11/2024 00:00:00"
"348","G115","240000G11525","2676","15/11/2024 00:00:00"
"349","G116","5l0000G11601","2039","15/11/2024 00:00:00"
"350","G117","240000G1171D","2539","15/11/2024 00:00:00"
"351","G118","5l0000G11809","2278","15/11/2024 00:00:00"
"352","G119","240000G1190V","2107","15/11/2024 00:00:00"
"353","G121","240000G12116","2616","15/11/2024 00:00:00"
"354","G122","5l0000G12202","2413","15/11/2024 00:00:00"
"355","G123","240000G12334","2642","15/11/2024 00:00:00"
"356","G124","5l0000G12405","2963","15/11/2024 00:00:00"
"357","G125","240000G1251T","2457","15/11/2024 00:00:00"
"358","G127","240000G12741","2568","15/11/2024 00:00:00"
"359","G128","550000G12810","2666","15/11/2024 00:00:00"
"360","G129","240000G12922","2714","15/11/2024 00:00:00"
"361","G130","5l0000G13091","2952","15/11/2024 00:00:00"
"362","G131","240000G13116","2263","15/11/2024 00:00:00"
"363","G132","5l0000G132H0","2875","15/11/2024 00:00:00"
"364","G133","240000G1330O","2974","15/11/2024 00:00:00"
"365","G134","5l0000G13400","2697","15/11/2024 00:00:00"
"366","G135","240000G1350J","2220","15/11/2024 00:00:00"
"367","G136","5l0000G136R3","2169","15/11/2024 00:00:00"
"368","G137","240000G13716","2521","15/11/2024 00:00:00"
"369","G138","5l0000G13800","2113","15/11/2024 00:00:00"
"370","G139","240000G13919","2795","15/11/2024 00:00:00"
"371","G140","5l0000G14082","2140","15/11/2024 00:00:00"
"372","G141","240000G1410R","2382","15/11/2024 00:00:00"
"373","G142","5l0000G14280","2958","15/11/2024 00:00:00"
"374","G143","240000G14311","2064","15/11/2024 00:00:00"
"375","G144","5l0000G144Y6","2890","15/11/2024 00:00:00"
"376","G145","240000G1450Z","2253","15/11/2024 00:00:00"
"377","G146","5l0000G14605","2445","15/11/2024 00:00:00"
"378","G147","240000G1470M","2550","15/11/2024 00:00:00"
"379","G148","5l0000G148H0","2187","15/11/2024 00:00:00"
"380","G149","240000G1491U","2156","15/11/2024 00:00:00"
"381","G150","5l0000G15073","2239","15/11/2024 00:00:00"
"382","G151","240000G15136","2015","15/11/2024 00:00:00"
"383","G152","5l0000G152G2","2071","15/11/2024 00:00:00"
"384","G153","240000G1530P","2516","15/11/2024 00:00:00"
"385","G154","5l0000G154C1","2923","15/11/2024 00:00:00"
"386","G156","5l0000G15606","2903","15/11/2024 00:00:00"
"387","G157","240000G1570Y","2752","15/11/2024 00:00:00"
"388","G158","560000G15801","2715","15/11/2024 00:00:00"
"389","G159","240000G1593J","2998","15/11/2024 00:00:00"
"390","G160","5l0000G160B2","2717","15/11/2024 00:00:00"
"391","G161","240000G1610I","2967","15/11/2024 00:00:00"
"392","G162","5l0000G16290","2959","15/11/2024 00:00:00"
"393","G169","240000G1690D","2138","15/11/2024 00:00:00"
"394","G170","5u0000G17005","2236","15/11/2024 00:00:00"
"395","G171","240000G17109","2208","15/11/2024 00:00:00"
"396","G172","560000G17201","2018","15/11/2024 00:00:00"
"397","G173","240000G1730C","2755","15/11/2024 00:00:00"
"398","G174","5j0000G17400","2606","15/11/2024 00:00:00"
"399","G176","560000G17612","2548","15/11/2024 00:00:00"
"400","G177","240000G1770U","2246","15/11/2024 00:00:00"
"401","G178","560000G17810","2335","15/11/2024 00:00:00"
"402","G179","240000G1790K","2193","15/11/2024 00:00:00"
"403","G180","5j0000G18020","2287","15/11/2024 00:00:00"
"404","G181","240000G18122","2756","15/11/2024 00:00:00"
"405","G182","5e0000G18201","2528","15/11/2024 00:00:00"
"406","G183","240000G18322","2439","15/11/2024 00:00:00"
"407","G184","5j0000G18401","2657","15/11/2024 00:00:00"
"408","G185","240000G1850Q","2965","15/11/2024 00:00:00"
"409","G186","560000G18640","2086","15/11/2024 00:00:00"
"410","G187","240000G1870P","2196","15/11/2024 00:00:00"
"411","G189","240000G1890T","2417","15/11/2024 00:00:00"
"412","G190","5j0000G19002","2944","15/11/2024 00:00:00"
"413","G191","240000G1910S","2193","15/11/2024 00:00:00"
"414","G192","560000G19200","2360","15/11/2024 00:00:00"
"415","G193","240000G19300","2555","15/11/2024 00:00:00"
"416","G194","5j0000G19402","2083","15/11/2024 00:00:00"
"417","G195","240000G1950W","2157","15/11/2024 00:00:00"
"418","G196","5e0000G19621","2901","15/11/2024 00:00:00"
"419","G197","240000G1970S","2679","15/11/2024 00:00:00"
"420","G198","4z0000G19808","2668","15/11/2024 00:00:00"
"421","G1001","4e000G10010L","2484","15/11/2024 00:00:00"
"422","G1002","6i000G10020H","2027","15/11/2024 00:00:00"
"423","G1003","4e000G10030N","2848","15/11/2024 00:00:00"
"424","G1004","6i000G10040H","2020","15/11/2024 00:00:00"
"425","G1005","4e000G10050V","2040","15/11/2024 00:00:00"
"426","G1006","6i000G10060G","2080","15/11/2024 00:00:00"
"427","G1007","4e000G10070I","2665","15/11/2024 00:00:00"
"428","G1008","6i000G10080L","2609","15/11/2024 00:00:00"
"429","G1009","4e000G10090L","2563","15/11/2024 00:00:00"
"430","G1010","6i000G10100N","2084","15/11/2024 00:00:00"
"431","G1012","6i000G10120F","2501","15/11/2024 00:00:00"
"432","G1017","39000G102002","2343","15/11/2024 00:00:00"
"433","G1020","39000G102002","2000","15/11/2024 00:00:00"
"434","G1027","42000G103004","2456","15/11/2024 00:00:00"
"435","G1028","6i000G102808","2244","15/11/2024 00:00:00"
"436","G1029","6i000G102808","2804","15/11/2024 00:00:00"
"437","G1030","42000G103004","2642","15/11/2024 00:00:00"
"438","G1031","42000G10340G","2258","15/11/2024 00:00:00"
"439","G1032","6i000G10320I","2492","15/11/2024 00:00:00"
"440","G1033","6i000G10320I","2778","15/11/2024 00:00:00"
"441","G1034","42000G10340G","2737","15/11/2024 00:00:00"
"442","G1036","6i000G103609","2734","15/11/2024 00:00:00"
"443","G1037","6i000G103609","2936","15/11/2024 00:00:00"
"444","G1039","4r000G104205","2231","15/11/2024 00:00:00"
"445","G1040","6i000G104003","2544","15/11/2024 00:00:00"
"446","G1041","6i000G104003","2036","15/11/2024 00:00:00"
"447","G1042","4r000G104205","2610","15/11/2024 00:00:00"
"448","G1045","24000G104510","2315","15/11/2024 00:00:00"
"449","G1046","47000G104600","2189","15/11/2024 00:00:00"
"450","G1047","24000G104703","2149","15/11/2024 00:00:00"
"451","G1049","24000G104903","2265","15/11/2024 00:00:00"
"452","G1050","4p000G105003","2474","15/11/2024 00:00:00"
"453","G1053","24000G105304","2466","15/11/2024 00:00:00"
"454","G1054","4p000G105400","2812","15/11/2024 00:00:00"
"455","G1055","24000G105501","2818","15/11/2024 00:00:00"
"456","G1056","38000G105601","2533","15/11/2024 00:00:00"
"457","G1061","24000G10610A","2833","15/11/2024 00:00:00"
"458","G1062","49000G106204","2718","15/11/2024 00:00:00"
"459","G1063","24000G106306","2870","15/11/2024 00:00:00"
"460","G1064","49000G106430","2470","15/11/2024 00:00:00"
"461","G1065","24000G106507","2801","15/11/2024 00:00:00"
"462","G1066","49000G106602","2795","15/11/2024 00:00:00"
"463","G1067","24000G10670B","2226","15/11/2024 00:00:00"
"464","G1068","49000G106801","2854","15/11/2024 00:00:00"
"465","G1069","24000G10690F","2591","15/11/2024 00:00:00"
"466","G1070","49000G107004","2397","15/11/2024 00:00:00"
"467","G1071","24000G10710B","2707","15/11/2024 00:00:00"
"468","G1072","49000G107207","2132","15/11/2024 00:00:00"
"469","G1073","24000G107305","2443","15/11/2024 00:00:00"
"470","G1074","49000G107403","2861","15/11/2024 00:00:00"
"471","G1075","24000G107503","2391","15/11/2024 00:00:00"
"472","G1076","49000G107602","2715","15/11/2024 00:00:00"
"473","G1077","24000G107706","2734","15/11/2024 00:00:00"
"474","G1078","49000G107802","2656","15/11/2024 00:00:00"
"475","G1079","24000G107904","2886","15/11/2024 00:00:00"
"476","G1080","49000G108001","2387","15/11/2024 00:00:00"
"477","G1081","24000G108101","2909","15/11/2024 00:00:00"
